name,Name,Description,Special Effect
Spambot Minion,Jamming,"Minions will attempt to jam TITAN communications and radar using universal jamming (p. 262, EP).",
Spambot Minion,Spam Mist,"Everyone within mesh range of the spambot suffers a −30 Perception Test modifier due to AR spam overload. This may be cleared with an Interfacing Test at −30, but will return after 10 minutes as the spam compensates for the filtering; see Traffic Filters and Mist, p. 248, EP. Alternatively, AR may be turned off, but this will disable tacnets and hinder other gear.",
TITAN Smart Mine,Volatile,"Smart mines that suffer a wound have a 5% chance of exploding: DV 6d10 + 12, AP −4, blast area effect.",
TITAN Smart Mine,Suicide Strike,"Inflicts exactly enough DV to cause 2 wounds (including armor). There is a 25% chance this cripples or amputates a limb; victims losing legs move at a quarter their normal movement rate until healed or repaired (pp. 208 and 327, EP).",
Transhuman Smart Mine,Volatile,"Smart mines that suffer a wound have a 20% chance of exploding: DV 1d10 + 2, AP −4, blast area effect.",
Immolator Drone,Exsurgent Infection,Drones can infect biomorphs with the glory exsurgent virus (p. 175) by exchanging bodily fluids.,
Zombie Crab,Protist Infection,"After 5 days, the victim’s temperature spikes and they lose 5 points from all aptitudes each day, down to a minimum of 5. Victims receive the Modified Behavior (Enforced: Seek Out Water) trait.",
Wild Artificial Loper,Caltrop Variant,Deploys caltrops over a 5-meter radius. Characters or wheeled vehicles/bots that move through the area without spotting the caltrops (Perception Test at −30) suffer DV 1d10 + 3 (armor does not protect); vehicles must must a Pilot Test or crash.,
Wild Artificial Loper,Smuggler Variant,"Chameleon Skin, Hidden Compartment, Thermal Dampening",
Wild Artificial Loper,Caltrop Variant,"Hidden Compartment, DV 6d10 + 20, AP −4, blast area effect",
Whipper,Undersea Variant,"Add Swimming 40, Echolocation, Eelware, Gills, Hydrostatic Pressure Adaptation, Temperature Tolerance (Cryonic)",
Whipper,Armored Variant,"Add Carapace Armor (12/10), Medichines, Oxygen Reserve, Radiation Tolerance, Temperature Tolerance, Vacuum Sealing",
